bodyId_pre,bodyId_post,pre_name,post_name,type_pre_col,type_post_col,type_pre,type_post,roi_pre,roi_post,count
1230738163,1261086734,ER3ac_L_1230738163,ER3da_R_1261086734,ER3ac_L,ER3da_R,ER3a,ER3d,EB,EB,1
1230738163,1261082560,ER3ac_L_1230738163,ER3dc_L_1261082560,ER3ac_L,ER3dc_L,ER3a,ER3d,EB,EB,1
1230738163,1260754053,ER3ac_L_1230738163,ER3wa_R_1260754053,ER3ac_L,ER3wa_R,ER3a,ER3w,EB,EB,1
1230738163,1199017128,ER3ac_L_1230738163,ER2b_L_1199017128,ER3ac_L,ER2b_L,ER3a,ER2,EB,EB,1
1230738118,5812984024,ER5_L_1230738118,ER3aa_R_5812984024,ER5_L,ER3aa_R,ER5,ER3a,EB,EB,1
1230738118,5812979604,ER5_L_1230738118,ER5_R_5812979604,ER5_L,ER5_R,ER5,ER5,EB,EB,1
1230738118,1262101350,ER5_L_1230738118,ER3ad_R_1262101350,ER5_L,ER3ad_R,ER5,ER3a,EB,EB,1
1230738118,1261773104,ER5_L_1230738118,ER3ad_L_1261773104,ER5_L,ER3ad_L,ER5,ER3a,EB,EB,1
1230738163,1355810793,ER3ac_L_1230738163,ER3aa_R_1355810793,ER3ac_L,ER3aa_R,ER3a,ER3a,EB,EB,1
1230738163,5813077556,ER3ac_L_1230738163,ER2b_R_5813077556,ER3ac_L,ER2b_R,ER3a,ER2,EB,EB,1
1230738237,1168241257,ER5_R_1230738237,ER2c_R_1168241257,ER5_R,ER2c_R,ER5,ER2,EB,EB,1
1230738247,1261760448,ER5_R_1230738247,ER3aa_L_1261760448,ER5_R,ER3aa_L,ER5,ER3a,EB,EB,1
1230742431,5813061251,ER5_L_1230742431,EPG_R8_5813061251,ER5_L,EPG_R8,ER5,EPG,EB,EB,1
1230742431,1261751722,ER5_L_1230742431,ER5_L_1261751722,ER5_L,ER5_L,ER5,ER5,EB,EB,1
1230742431,1231070792,ER5_L_1230742431,ER5_L_1231070792,ER5_L,ER5_L,ER5,ER5,EB,EB,1
1230742431,1231066662,ER5_L_1230742431,ER5_R_1231066662,ER5_L,ER5_R,ER5,ER5,EB,EB,1
1230742431,1230742517,ER5_L_1230742431,ER5_R_1230742517,ER5_L,ER5_R,ER5,ER5,EB,EB,1
1230742431,1230738247,ER5_L_1230742431,ER5_R_1230738247,ER5_L,ER5_R,ER5,ER5,EB,EB,1
1230742431,1126647624,ER5_L_1230742431,EPG_R8_1126647624,ER5_L,EPG_R8,ER5,EPG,EB,EB,1
1230742431,1125964814,ER5_L_1230742431,EPG_R8_1125964814,ER5_L,EPG_R8,ER5,EPG,EB,EB,1
1230742431,912545106,ER5_L_1230742431,EPG_L2_912545106,ER5_L,EPG_L2,ER5,EPG,EB,EB,1
1230738247,1262105552,ER5_R_1230738247,ER3m_L_1262105552,ER5_R,ER3m_L,ER5,ER3m,EB,EB,1
1230738247,1231675708,ER5_R_1230738247,ER3ab_R_1231675708,ER5_R,ER3ab_R,ER5,ER3a,EB,EB,1
1230738237,1169260589,ER5_R_1230738237,ER3ac_R_1169260589,ER5_R,ER3ac_R,ER5,ER3a,EB,EB,1
1230738247,1231066741,ER5_R_1230738247,ER5_L_1231066741,ER5_R,ER5_L,ER5,ER5,EB,EB,1
1230738247,1230738118,ER5_R_1230738247,ER5_L_1230738118,ER5_R,ER5_L,ER5,ER5,EB,EB,1
1230738247,1230712956,ER5_R_1230738247,ER5_R_1230712956,ER5_R,ER5_R,ER5,ER5,EB,EB,1
1230738247,1198675740,ER5_R_1230738247,ER2c_L_1198675740,ER5_R,ER2c_L,ER5,ER2,EB,EB,1
1230738247,1168241257,ER5_R_1230738247,ER2c_R_1168241257,ER5_R,ER2c_R,ER5,ER2,EB,EB,1
1230738247,1125964814,ER5_R_1230738247,EPG_R8_1125964814,ER5_R,EPG_R8,ER5,EPG,EB,EB,1
1230738237,1261751722,ER5_R_1230738237,ER5_L_1261751722,ER5_R,ER5_L,ER5,ER5,EB,EB,1
1230738237,1230742552,ER5_R_1230738237,ER5_R_1230742552,ER5_R,ER5_R,ER5,ER5,EB,EB,1
1230738237,1230742517,ER5_R_1230738237,ER5_R_1230742517,ER5_R,ER5_R,ER5,ER5,EB,EB,1
