Cell supertype,Catmaid name,% reviewed,Export date,Backbone coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,Num. of segs,Supervoxel ID,Root ID,Root ID updated,CATMAID skid
EPG,EPG_RZ_R2_MS_no-PB?,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R2_SH,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R2_SH,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R2_SH,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R3_MS,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R3_MS,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R3_SH_AT,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R3_todo_AT_SH,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_todo_LY_L4_SH_AT,0,20/03/2025,,"576460752344919115,576460752522926742,576460752404184872,576460752537267501,576460752491702627,576460752532158162,576460752482069416",,,21/03/2025,TRUE,FALSE,FALSE,,6,,,,
EPG,EPG?dunno_FS,0,20/03/2025,,"576460752471661979,576460752471661979,576460752471661979,576460752471661979,576460752471661979,576460752471661979,576460752471661979,576460752471661979,576460752399114720,576460752399114720,576460752399114720,576460752399114720,576460752460844159,576460752460844159,576460752493645053,576460752493645053,576460752493645053,576460752493645053,576460752408256102,576460752493645053,576460752493645053,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752538188077,576460752450879561,576460752450879561,576460752450879561,576460752471661979,576460752471661979,576460752471661979,576460752429005781,576460752429005781,576460752429005781,576460752429005781,576460752488089590,576460752488089590,576460752488089590,576460752488089590,576460752488089590,576460752463701569,576460752463701569,576460752463701569,576460752463701569,576460752463701569,576460752469824997,576460752463701569,576460752463701569,576460752463701569,576460752511027882,576460752488225270,576460752488225270,576460752488225270,576460752488225270,576460752488225270,576460752488225270,576460752488225270,576460752488225270,576460752488225270,576460752488225270,576460752449661306,576460752469362665,576460752469362665,576460752469362665,576460752469362665,",,,,FALSE,FALSE,FALSE,,74,,,,
EPG,PF1?_EPG-like_L6_MS,0,20/03/2025,,"576460752527810798,576460752471314843,576460752418751995,576460752527734254,576460752533099156,576460752533099156,576460752418336603,576460752418336603,576460752418336603,576460752418336603,576460752527810798,576460752527810798,576460752471314843,576460752471314843,576460752471314843,576460752473008405,576460752526041532,576460752471314843,576460752471314843,576460752471314843,576460752517584266,576460752517584266,576460752348901241,576460752517633418,576460752418751995,",,,,FALSE,FALSE,FALSE,,25,,,,
,,,,,"576460752386873362,576460752475395726,576460752316959010,576460752321204705,576460752330878575,576460752505160167,576460752331120495,576460752418347128,576460752315892002,576460752463624864,576460752344608046,576460752504553959,576460752424814712,576460752319624161,576460752451964788,576460752308545821,576460752325845026,576460752322707490,576460752322982113,576460752371674839,576460752316977698,576460752325010722,576460752332256367,576460752386806802,576460752459183073,576460752321047777,576460752330882671,576460752335746325,576460752457763809,576460752334090261,576460752426594936,576460752309028862,576460752324366114,576460752424501624,576460752314730018,576460752387531514,576460752458219489,576460752463618976,576460752308574493,576460752421440569,576460752387990522,576460752488563606,576460752421286457,576460752332344687,576460752318581794,576460752469267177,576460752367449987,576460752348605856,576460752485508996,576460752487385571,576460752325426210,576460752469333225,576460752385494034,576460752332811887,576460752458367457,576460752317184546,576460752503352551,576460752323212257,576460752310739997,576460752505165287,576460752503989991,576460752450575544,576460752425195896,576460752333057903,576460752369819863,576460752371253463,576460752379135138,576460752449424824,576460752329554287,576460752370205655,576460752330946927,576460752346419367,576460752361962061,576460752504960743,576460752385763346,576460752353484238,576460752474186382,576460752322920482,576460752321727201,576460752419905081,576460752371676375,576460752488275958,576460752450606264,576460752474182542,576460752321980385,576460752424221560,576460752469955238,576460752457909985,576460752385801234,576460752463617184,576460752323863074,576460752386095378,576460752332531311,576460752488282358,576460752388228267,576460752323872802,576460752385655058,576460752316792098,576460752365475265,576460752331092335,576460752322732769,576460752428312296,576460752311147293,576460752329375599,576460752308355101,576460752485766658,576460752344602926,576460752458374113,576460752344162222,576460752366211971,576460752502740884,576460752308992541,576460752371491543,576460752421282361,576460752459197153,576460752321066721,576460752348149408,576460752323580450,576460752320564449,576460752322984673,576460752316614690,576460752387412139,576460752323230689,576460752450799544,576460752424672376,576460752325236002,576460752459636449,576460752463573262,576460752310935581,576460752333194607,576460752308796701,576460752399646759,576460752424361336,576460752308560157,576460752320836833,576460752388610475,576460752462621536,576460752361958733,576460752317595938,576460752379150242,576460752386796971,576460752422007097,576460752386808850,576460752331877231,576460752330075247,576460752371473623,576460752504174055,576460752321974241,576460752421716793,576460752459349217,576460752462628448,576460752387234554,576460752459043553,576460752462625120,576460752325626402,576460752336138773,576460752387818155,576460752331813487,576460752361957709,576460752317183010,576460752426601336,576460752316794658,576460752310932253,576460752424667768,576460752323154978,576460752469281513,576460752323831074,576460752475035278,576460752318126370,576460752320862177,576460752420995385,576460752459921377,576460752368675009,576460752343311278,576460752335375381,576460752309225245,576460752420755513,576460752387412651,576460752318312226,576460752503365012,576460752309029374,576460752329983599,576460752450986424,576460752379141538,576460752455000219,576460752324596514,576460752329549679,576460752424812152,576460752399041831,576460752468392858,576460752321750241,576460752452842881,576460752387716858,576460752316241186,576460752323212769,576460752334985493,576460752307177138,576460752474366094,576460752322670305,576460752324576802,576460752321880545,576460752321537249,576460752332915567,576460752331179631,576460752320772065,576460752332716655,576460752317527323,576460752307399602,576460752459038689,576460752474187918",,,22/04/2025,,,,,209,,,,
,,,,,,,,13/05/2025,,,,,,,,,
